질문,모델,응답번호,응답내용,사실성,적합성,일관성,총점,모델성능
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),1,"30대 남성으로 대중교통을 자주 이용하시고, 온라인 쇼핑 및 편의점 이용이 많으시다면, K-패스 카드와 함께 사용하기 좋은 신용카드를 추천드리겠습니다.

### 추천 카드

1. **신한카드 YS**
   - **혜택**: 대중교통, 온라인 쇼핑, 편의점 이용 시 할인 혜택
   - **연회비**: 적당
   - **조건**: 전월 실적이 20만원 이하일 때도 할인 가능

2. **삼성카드 taptap O**
   - **혜택**: 대중교통 및 다양한 온라인 쇼핑 캐시백 제공
   - **연회비**: 일반적
   - **조건**: 소액 결제 시에도 혜택 적용

3. **롯데카드 LOCA**
   - **혜택**: 편의점, 대중교통 이용 시 포인트 적립 및 할인
   - **연회비**: 저렴
   - **조건**: 전월 실적이 낮아도 적립 가능

### 추가 팁
- 각 카드사의 홈페이지에서 자세한 혜택 및 조건을 확인해보시고, 본인의 소비 패턴에 맞는 카드를 선택하세요.
- 카드 발급 시, 혜택이 많은 카드로 고르시면 소액 결제 시에도 유용합니다.

이러한 카드들을 고려해보시고, 선택하시면 좋을 것 같습니다!",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),2,"30대 남성으로 대중교통을 자주 이용하시고, 온라인 쇼핑 및 편의점 이용이 잦으시다면, K-패스 카드와 함께 사용하기 좋은 신용카드 몇 가지를 추천드립니다. 아래의 조건에 맞는 카드들을 확인해 보세요.

1. **신한카드 Love**  
   - **혜택**: 대중교통 이용 시 포인트 적립, 온라인 쇼핑 할인
   - **연회비**: 저렴
   - **전월 실적**: 20만원 이하 가능
   - **특징**: 소액 결제에도 적립 혜택이 좋습니다.

2. **우리카드 위비**  
   - **혜택**: 대중교통 요금 할인 및 편의점 할인
   - **연회비**: 저렴
   - **전월 실적**: 적은 금액으로도 가입 가능
   - **특징**: 소액 결제에 따른 할인 혜택이 있습니다.

3. **KB국민카드 통신비 할인 카드**  
   - **혜택**: 대중교통 및 온라인 쇼핑 관련 할인
   - **연회비**: 저렴
   - **전월 실적**: 20만원 이하 가능
   - **특징**: 통신비와 연계된 다양한 할인 혜택이 있습니다.

4. **하나카드 올댓**  
   - **혜택**: 대중교통 이용 시 적립, 온라인 쇼핑 할인
   - **연회비**: 저렴
   - **전월 실적**: 낮은 금액으로 가입 가능
   - **특징**: 소액 결제에 대한 혜택이 좋습니다.

카드 선택 시 혜택과 자신의 소비 패턴을 잘 고려해 보세요. 또한, 각 카드사의 공식 웹사이트에서 상세한 혜택과 조건을 확인하시고, 필요시 카드 상담을 통해 추가 정보를 얻는 것도 좋습니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),3,"30대 남성으로서 대중교통, 온라인 쇼핑, 편의점 이용이 잦고, 전월 실적이 적은 카드를 찾고 계시군요. 다음과 같은 카드들을 고려해보시는 것을 추천합니다:

1. **K-패스 카드**
   - 대중교통 이용 시 할인 혜택이 있으며, 여러 교통 수단에서 사용 가능.
   - 편의점 및 온라인 쇼핑에서도 사용할 수 있어 편리합니다.

2. **신한카드 Air**
   - 대중교통 및 온라인 쇼핑에서 적립 혜택이 있습니다.
   - 적은 결제 금액에서도 혜택을 받을 수 있는 구조입니다.

3. **삼성카드 1.5**
   - 다양한 업종에서 적립이 가능하며, 특히 편의점 및 온라인 쇼핑에서 유리합니다.
   - 전월 실적이 낮아도 혜택을 받을 수 있는 옵션이 많습니다.

4. **우리카드 더블할인**
   - 대중교통, 편의점 등 다양한 사용처에서 적립이 가능합니다.
   - 건당 결제 금액이 적어도 괜찮은 혜택을 받을 수 있습니다.

각 카드의 상세한 조건 및 혜택을 확인하시고, 본인의 사용 패턴에 맞는 카드를 선택해 보세요. 추가적으로 카드사 웹사이트에서 제공하는 비교 도구를 활용하면 더욱 유용합니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),4,"30대 남성으로 대중교통과 온라인 쇼핑, 편의점 이용이 잦으시다면, 다음과 같은 카드를 고려해보실 수 있습니다:

### 1. **K-패스 카드**
- **특징**: 대중교통 이용 시 할인 혜택이 있습니다.
- **혜택**: 특정 금액 이상 충전 시 추가 할인.

### 2. **신한카드 taptap O**
- **특징**: 대중교통 할인 및 소액 결제 혜택.
- **혜택**: 대중교통 이용 시 최대 30% 할인, 편의점 및 온라인 쇼핑 시 일부 비율 캐시백.

### 3. **우리카드 미니**
- **특징**: 소액 결제에 특화된 카드입니다.
- **혜택**: 편의점과 온라인 쇼핑에서 할인, 적은 금액의 결제에도 혜택 제공.

### 4. **삼성카드 taptap**
- **특징**: 대중교통 및 소액 결제에 유리한 카드입니다.
- **혜택**: 대중교통 이용 시 할인, 편의점 및 온라인 쇼핑에서도 적립 혜택.

### 5. **현대카드 M**
- **특징**: 다양한 쇼핑몰 쇼핑 시 할인 혜택.
- **혜택**: 온라인 쇼핑 시 캐시백 제공, 편의점 이용 시 추가 적립.

이 카드들은 전월 실적이 낮거나 없는 경우에도 혜택을 제공하며, 소액 결제 시에도 적립 및 할인 혜택이 있습니다. 카드 신청 전 각 카드사의 혜택 및 조건을 확인해 보시고, 본인에게 가장 적합한 카드를 선택하시는 것이 좋습니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),5,"30대 남성으로 대중교통을 자주 이용하고, 온라인 쇼핑과 편의점 이용이 많은 경우, 혜택이 적은 결제 금액에서도 유용한 카드를 추천드립니다. 다음과 같은 카드를 고려해보세요:

1. **신한카드 판타지오**
   - **혜택**: 대중교통 이용 시 추가 할인, 온라인 쇼핑 시 캐시백.
   - **연회비**: 연회비가 비교적 저렴함.
   - **조건**: 전월실적이 낮아도 혜택을 받을 수 있음.

2. **BC카드 M포인트 카드**
   - **혜택**: 대중교통 이용 시 포인트 적립, 편의점 이용 시 추가 할인.
   - **전월실적**: 20만원 이하에서도 혜택 제공.
   - **특징**: 소액 결제에도 적립 가능.

3. **하나카드 소소하게 쓰는 카드**
   - **혜택**: 소액 결제 시 적립률이 높고, 대중교통 이용 시 추가 혜택 제공.
   - **연회비**: 저렴한 편.
   - **조건**: 전월 실적이 낮아도 혜택을 받을 수 있음.

4. **롯데카드 LOCA 카드**
   - **혜택**: 대중교통, 편의점, 온라인 쇼핑에서의 적립률이 높음.
   - **전월실적**: 낮은 금액에서도 혜택을 제공.
   - **특징**: 결제 금액에 따라 적립이 가능.

이 카드는 소액 결제와 대중교통 이용 시 혜택이 많으니, 본인의 소비 패턴에 맞춰 선택해보세요. 카드 발급 전 각 카드의 최신 혜택과 조건을 확인하는 것이 중요합니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),6,"30대 남성으로서 대중교통과 온라인 쇼핑, 편의점을 자주 이용하신다면, K-패스 카드와 함께 사용할 수 있는 신용카드를 고려해보세요. 아래는 당신의 생활 패턴에 적합한 카드 추천입니다:

### 1. **교통비 할인 카드**
- **혜택**: 대중교통 이용 시 할인 혜택 제공
- **추천 카드**: 'XX 카드' (상세한 카드명은 발급사 웹사이트 참조)
  - 대중교통 이용 시 정액 할인
  - 편의점 및 온라인 쇼핑 시 추가 할인

### 2. **포인트 적립 카드**
- **혜택**: 매 구매 시 포인트 적립
- **추천 카드**: 'YY 카드'
  - 소액 결제에도 포인트 적립
  - 온라인 쇼핑 및 편의점에서 사용 시 추가 포인트

### 3. **캐시백 카드**
- **혜택**: 일정 비율 캐시백 제공
- **추천 카드**: 'ZZ 카드'
  - 대중교통, 온라인 쇼핑, 편의점에서 사용 시 캐시백 제공
  - 전월 실적이 낮더라도 캐시백이 적용됨

### 추가 팁:
- 카드를 선택할 때, 연회비와 기본 혜택을 비교해보세요.
- 카드사 웹사이트와 고객센터를 통해 추가 혜택이나 조건을 확인하는 것이 좋습니다.

이 카드들을 통해 대중교통, 온라인 쇼핑, 편의점 이용 시 혜택을 극대화할 수 있을 것입니다!",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),7,"30대 남성으로 대중교통을 자주 이용하고, 온라인 쇼핑 및 편의점 이용이 많은 경우, K-패스 카드와 함께 사용할 수 있는 혜택이 좋은 카드를 찾는 것이 중요합니다. 다음 카드들을 고려해 보세요:

1. **K-패스 카드**:
   - 대중교통 이용 시 편리한 할인 혜택 제공.
   - 주로 지하철과 버스에서 사용 가능.

2. **신한카드 딥드림**:
   - 편의점, 온라인 쇼핑에서 일정 금액 이상 결제 시 적립 혜택.
   - 전월 실적이 낮은 경우에도 사용 가능.

3. **삼성카드 taptap**:
   - 대중교통 이용 시 추가 적립.
   - 편의점 및 온라인 쇼핑에서 소액 결제 시에도 혜택 제공.

4. **현대카드 M**:
   - 특정 카테고리에서 높은 적립률.
   - 전월 실적 조건이 상대적으로 낮음.

5. **우리카드 위비**:
   - 대중교통, 편의점, 온라인 쇼핑에서 할인 혜택.
   - 실적이 낮은 경우에도 사용 가능.

카드를 선택할 때는 각 카드의 정확한 혜택과 조건을 확인하고, 본인의 소비 패턴에 맞는 카드를 선택하는 것이 좋습니다. 필요시 추가적인 상담을 통해 더 구체적인 정보를 얻는 것도 추천드립니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),8,"30대 남성으로 대중교통을 자주 이용하고, 온라인 쇼핑 및 편의점 이용을 많이 하신다면, 여러 카드사에서 제공하는 혜택을 고려할 수 있습니다. 전월 실적이 없거나 20만원 이하를 선호하시고, 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고 계신다면 다음과 같은 카드들을 추천드립니다.

### 1. **신한카드 Deep Dream**
- **혜택**: 대중교통 10% 캐시백, 온라인 쇼핑 시 추가 할인
- **전월 실적**: 실적 제한이 적고 소액 결제에 유리
- **편의점**: 전통적인 편의점 혜택 제공

### 2. **삼성카드 3 V2**
- **혜택**: 대중교통 및 온라인 쇼핑 시 높은 적립률
- **전월 실적**: 무실적 카드로 소액 결제 시에도 할인
- **편의점**: 특정 편의점에서 추가 할인 제공

### 3. **롯데카드 L.POINT 카드**
- **혜택**: 대중교통, 편의점 이용 시 L.POINT 적립
- **전월 실적**: 실적이 낮아도 유지 가능
- **온라인 쇼핑**: 특정 쇼핑몰에서의 추가 적립

### 4. **우리카드 WIZ**
- **혜택**: 대중교통, 온라인 쇼핑 시 적립 혜택
- **전월 실적**: 실적이 적어도 유지 가능
- **편의점**: 편의점 구매 시 추가 적립

카드를 선택할 때는 본인의 소비 패턴을 고려하여, 혜택이 가장 유리한 카드를 선택하는 것이 중요합니다. 카드사 홈페이지나 고객센터를 통해 추가 정보를 확인하시고, 자신의 생활 스타일에 맞는 카드를 선택하시길 바랍니다.",1,2,1,4,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),9,"30대 남성으로서 대중교통, 온라인 쇼핑, 편의점 이용이 많고, 전월 실적이 적거나 없는 경우에 적합한 카드 몇 가지를 추천드립니다. 

### 1. **T멤버십 카드**
- **특징**: 대중교통 할인, 편의점 할인, 온라인 쇼핑 혜택
- **연회비**: 저렴하거나 면제
- **전월 실적**: 최소 실적 필요 없음
- **혜택**: 대중교통 이용 시 할인, 편의점에서 적립 포인트 사용 가능

### 2. **신한카드 올댓**
- **특징**: 다양한 할인 혜택
- **연회비**: 저렴
- **전월 실적**: 20만원 이하 가능
- **혜택**: 대중교통, 온라인 쇼핑 시 추가 적립

### 3. **삼성카드 taptap**
- **특징**: 대중교통 이용 시 적립
- **연회비**: 적당
- **전월 실적**: 20만원 이하 가능
- **혜택**: 대중교통 결제 시 10% 적립, 편의점 및 온라인 쇼핑 시도 추가 적립 가능

### 4. **롯데카드 e-마켓**
- **특징**: 온라인 쇼핑에 집중된 혜택
- **연회비**: 저렴
- **전월 실적**: 낮음
- **혜택**: 온라인 쇼핑 시 할인 및 적립, 편의점에서도 혜택 제공

### 5. **현대카드 M**
- **특징**: 다양한 가맹점에서 혜택
- **연회비**: 중간
- **전월 실적**: 낮은 금액으로 가능
- **혜택**: 대중교통, 편의점, 온라인 쇼핑 시 추가 적립

각 카드의 세부사항은 카드사 홈페이지에서 확인 후, 본인의 소비 패턴에 맞는 카드를 선택하시는 것이 좋습니다. 혜택과 조건이 자주 변경될 수 있으니, 최신 정보를 확인하시기 바랍니다.",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,Base (gpt-4o-mini),10,"30대 남성으로 대중교통을 자주 이용하고, 온라인 쇼핑 및 편의점 이용이 잦으시다면, K-패스 카드가 적합할 수 있습니다. 또한, 전월 실적이 낮고, 건당 결제 금액이 적어도 혜택을 제공하는 신용카드를 찾고 계신다면, 다음과 같은 카드들을 고려해 보세요:

### 추천 카드

1. **신한카드 Genius**
   - **혜택**: 대중교통 이용 시 할인, 온라인 쇼핑 시 적립 혜택.
   - **전월 실적**: 20만원 이하도 가능.
   - **추가 혜택**: 편의점 이용 시 할인.

2. **삼성카드 1**
   - **혜택**: 온라인 쇼핑 및 대중교통 이용 시 적립.
   - **전월 실적**: 낮은 실적 기준.
   - **추가 혜택**: 편의점에서의 할인.

3. **롯데카드 e-프렌드**
   - **혜택**: 대중교통 및 온라인 쇼핑 시 적립, 편의점 할인.
   - **전월 실적**: 20만원 이하도 가능.
   - **추가 혜택**: 소액 결제 시 추가 적립.

4. **씨티카드 리워드 플러스**
   - **혜택**: 다양한 쇼핑채널에서의 적립.
   - **전월 실적**: 실적 기준이 유연함.
   - **추가 혜택**: 대중교통 및 편의점 할인.

### 고려사항
- 카드의 연회비, 혜택의 유효 기간, 사용 조건 등을 미리 확인하세요.
- 각 카드사의 고객센터나 웹사이트에서 더 구체적인 정보와 최신 혜택을 확인하시길 추천드립니다. 

이와 같은 카드들이 대중교통, 온라인 쇼핑, 편의점 이용 시 유용할 것입니다. 필요에 따라 추가적인 조건이나 혜택을 고려해 보세요!",1,1,1,3,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,RAG (카드DB 기반),1,"💠 **K-패스 신한카드 체크**
- 연회비: ['국내전용 없음 해외겸용 없음']
- 전월 실적: 20만원 이상
- 브랜드: ['Mastercard']
- 주요 혜택 분야: 대중교통, 생활, 간편결제
* [대중교통] 대중교통(버스, 지하철) 이용 시 10% 결제일 할인
- 후불교통 기능을 이용한 터치(RF) 거래 시 할인
- 고속버스, 공항버스, 시외버스, 공항철도는 할인되지 않음

대중교통 할인 서비스 할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원
- 간편결제/생활할인 서비스와 별도 한도 운영됩니다
- 버스 및 지하철 요금은 실제 카드 사용일이 아닌, 이용대금명세서에 기재된 이용일 기준으로 서비스가 제공됩니다.
* [간편결제] 간편결제로 결제 시 2% 결제일 할인
- 간편결제 : 신한 SOL페이, 삼성페이, 카카오페이
- 해당 간편결제(Pay)에 K-패스 신한카드 등록 후 국내 온/오프라인 이용 시 할인됩니다.
- 간편결제를 통한 해외거래 및 교통카드 이용금액은 할인에서 제외됩니다.
- 간편결제(Pay)이용 시 제공되는 K-패스 신한카드 간편결제 할인 서비스는 신한카드가 제공하며, 기타 간편결제(Pay) 이용과 관련된 사항은 각각의 이용약관을 따릅니다.

간편결제/생활 할인 서비스 통합할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원
* [생활] 생활서비스 2% 결제일 할인
배달앱 2% 결제일 할인
- 배달앱: 배달의 민족
- 공식 배달앱에서 '앱 내 카드결제' 시 할인되며, '만나서/현장 카드 결제', '페이 결제' 등 다른 결제 방식은 할인되지 않습니다.

편의점 2% 결제일 할인 
- 편의점 : GS25, CU 
- 오프라인 매장에 한하여 할인되며, 인터넷이나 모바일 앱을 통한 온라인 거래는 할인되지 않습니다.

커피전문점 2% 결제일 할인 
- 커피전문점 : 스타벅스, 메가MGC커피, 매머드커피
-  오프라인 매장 및 공식 앱으로 결제 시 할인됩니다. 
- 백화점, 할인점 등 입점 매장 및 상품권, 선불카드 구입/충전, 선물하기 건은 할인되지 않습니다. 

올리브영 2% 결제일 할인 
- 오프라인 매장 및 공식 홈페이지, 공식 앱으로 결제 시 할인됩니다. 
- 백화점, 할인점 등 입점 매장 및 상품권, 선불카드 구입/충전, 선물하기 건은 할인되지 않습니다.

병원/약국 업종 2% 결제일 할인 
- 병원/약국 업종 할인 서비스는 신한카드 가맹점 업종 기준에 따라 할인됩니다. 신한카드 가맹점 업종은 신한카드 고객센터(1544-7000) 또는 신한카드 홈페이지(www.shinhancard.com) ‘가맹점 찾기’에서 확인할 수 있습니다. 
- 동물병원은 할인되지 않습니다.

OTT 2% 결제일 할인 
- OTT : 넷플릭스, 유튜브 프리미엄 
- 서비스 대상 가맹점 공식 홈페이지에 직접 접속하여 신청한 정기결제(자동이체)를 이용하는 경우에 한하여 서비스 적용됩니다. (1회성 일반구매 결제, 구글 플레이/애플 앱스토어 등 앱마켓을 통한 인앱결제, 통신요금 포함(합산) 결제건 은 할인되지 않습니다.) 

간편결제/생활 할인 서비스 통합할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원",3,3,3,9,
30대 남성으로 대중교통을 자주 이용합니다 .그래서 k-패스 카드를 발급을 고려하고 있습니다.  온라인 쇼핑을 자주하고 편의점을 자주 이용합니다. 전월실적은 없거나 20만원 이하를 선호합니다. 건당 결제 금액이 적어도 혜택이 있는 카드를 찾고있습니다.,RAG (카드DB 기반),2,"💠 **K-패스 신한카드 체크**
- 연회비: ['국내전용 없음 해외겸용 없음']
- 전월 실적: 20만원 이상
- 브랜드: ['Mastercard']
- 주요 혜택 분야: 대중교통, 생활, 간편결제
* [대중교통] 대중교통(버스, 지하철) 이용 시 10% 결제일 할인
- 후불교통 기능을 이용한 터치(RF) 거래 시 할인
- 고속버스, 공항버스, 시외버스, 공항철도는 할인되지 않음

대중교통 할인 서비스 할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원
- 간편결제/생활할인 서비스와 별도 한도 운영됩니다
- 버스 및 지하철 요금은 실제 카드 사용일이 아닌, 이용대금명세서에 기재된 이용일 기준으로 서비스가 제공됩니다.
* [간편결제] 간편결제로 결제 시 2% 결제일 할인
- 간편결제 : 신한 SOL페이, 삼성페이, 카카오페이
- 해당 간편결제(Pay)에 K-패스 신한카드 등록 후 국내 온/오프라인 이용 시 할인됩니다.
- 간편결제를 통한 해외거래 및 교통카드 이용금액은 할인에서 제외됩니다.
- 간편결제(Pay)이용 시 제공되는 K-패스 신한카드 간편결제 할인 서비스는 신한카드가 제공하며, 기타 간편결제(Pay) 이용과 관련된 사항은 각각의 이용약관을 따릅니다.

간편결제/생활 할인 서비스 통합할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원
* [생활] 생활서비스 2% 결제일 할인
배달앱 2% 결제일 할인
- 배달앱: 배달의 민족
- 공식 배달앱에서 '앱 내 카드결제' 시 할인되며, '만나서/현장 카드 결제', '페이 결제' 등 다른 결제 방식은 할인되지 않습니다.

편의점 2% 결제일 할인 
- 편의점 : GS25, CU 
- 오프라인 매장에 한하여 할인되며, 인터넷이나 모바일 앱을 통한 온라인 거래는 할인되지 않습니다.

커피전문점 2% 결제일 할인 
- 커피전문점 : 스타벅스, 메가MGC커피, 매머드커피
-  오프라인 매장 및 공식 앱으로 결제 시 할인됩니다. 
- 백화점, 할인점 등 입점 매장 및 상품권, 선불카드 구입/충전, 선물하기 건은 할인되지 않습니다. 

올리브영 2% 결제일 할인 
- 오프라인 매장 및 공식 홈페이지, 공식 앱으로 결제 시 할인됩니다. 
- 백화점, 할인점 등 입점 매장 및 상품권, 선불카드 구입/충전, 선물하기 건은 할인되지 않습니다.

병원/약국 업종 2% 결제일 할인 
- 병원/약국 업종 할인 서비스는 신한카드 가맹점 업종 기준에 따라 할인됩니다. 신한카드 가맹점 업종은 신한카드 고객센터(1544-7000) 또는 신한카드 홈페이지(www.shinhancard.com) ‘가맹점 찾기’에서 확인할 수 있습니다. 
- 동물병원은 할인되지 않습니다.

OTT 2% 결제일 할인 
- OTT : 넷플릭스, 유튜브 프리미엄 
- 서비스 대상 가맹점 공식 홈페이지에 직접 접속하여 신청한 정기결제(자동이체)를 이용하는 경우에 한하여 서비스 적용됩니다. (1회성 일반구매 결제, 구글 플레이/애플 앱스토어 등 앱마켓을 통한 인앱결제, 통신요금 포함(합산) 결제건 은 할인되지 않습니다.) 

간편결제/생활 할인 서비스 통합할인한도
지난달 이용금액 할인한도
20만원 이상
50만원 미만 2천원
50만원 이상 5천원",3,3,3,9,
